date,sale,stock,price
2020-09-20,168,2532,1.29
2020-09-21,99,2433,1.29
2020-09-22,39,2394,1.29
2020-09-23,64,2285,1.29
2020-09-24,117,2168,1.29
2020-09-25,104,2064,1.29
2020-09-26,108,1956,1.29
2020-09-27,234,1014,1.29
2020-09-28,97,917,1.29
2020-09-29,85,832,1.29
2020-09-30,88,1896,1.29
2020-10-01,190,1801,1.29
2020-10-02,163,1637,1.29
2020-10-03,90,1835,1.29
2020-10-04,105,1730,1.29
2020-10-05,47,1683,1.29
2020-10-06,66,2097,1.29
2020-10-07,84,2109,1.29
2020-10-08,80,2028,1.29
2020-10-09,97,1934,1.29
2020-10-10,64,2254,1.29
2020-10-11,128,2126,1.29
2020-10-12,85,2041,1.29
2020-10-13,50,2087,1.29
2020-10-14,91,1996,1.29
2020-10-15,93,1903,1.29
2020-10-16,50,1852,1.29
2020-10-17,85,2246,1.29
2020-10-18,129,2117,1.29
2020-10-19,119,1998,1.29
2020-10-20,45,2049,1.29
2020-10-21,78,2067,1.29
2020-10-22,90,1977,1.29
2020-10-23,78,1899,1.29
2020-10-24,62,1837,1.29
2020-10-25,97,1740,1.29
2020-10-26,111,1629,1.29
2020-10-27,55,1574,1.29
2020-10-28,60,1510,1.29
2020-10-29,61,1449,1.29
2020-10-30,81,1368,1.49
2020-10-31,131,1237,1.49
2020-11-01,160,1077,1.49
2020-11-02,131,946,1.49
2020-11-03,43,903,1.49
2020-11-04,34,869,1.49
2020-11-05,33,836,1.49
2020-11-06,37,799,1.49
2020-11-07,82,717,1.49
2020-11-08,542,175,1.49
2020-11-09,239,0,1.49
2020-11-10,51,0,1.49
2020-11-11,51,80,1.49
2020-11-12,41,34,1.49
2020-11-13,1,33,1.49
2020-11-14,0,33,1.49
2020-11-15,1,32,1.49
2020-11-16,0,32,1.49
2020-11-17,0,32,1.49
2020-11-18,7,25,1.49
2020-11-19,1,24,1.49
2020-11-20,4,20,1.29
2020-11-21,1,19,1.29
2020-11-22,1,18,1.29
2020-11-23,2,16,1.29
2020-11-24,0,16,1.29
2020-11-25,0,16,1.29
2020-11-26,0,16,1.29
2020-11-27,0,16,1.29
2020-11-28,0,16,1.29
2020-11-29,0,16,1.29
2020-11-30,0,16,1.29
2020-12-01,0,16,1.29
2020-12-02,0,16,1.29
2020-12-03,0,16,1.29
2020-12-04,0,16,1.29
2020-12-05,0,16,1.49
2020-12-06,0,16,1.49
2020-12-07,0,16,1.49
2020-12-08,0,16,1.49
2020-12-09,0,16,1.49
2020-12-10,0,16,1.49
2020-12-11,0,16,1.49
2020-12-12,0,16,1.49
2020-12-13,0,16,1.49
